,index,name,inchikey,formula,ionization,precursormz,rank
202,202,(water loss)N-acetyl-L-aspartic acid,OTCCIMWXFLJLIA-BYPYZUCNSA-N,C9H15N1O4Si1,[M+H]+,230.08485,0
203,203,N-acetyl-L-aspartic acid,OTCCIMWXFLJLIA-BYPYZUCNSA-N,C15H33N1O5Si3,[M+H]+,392.1748,1
204,204,(water loss)N-acetyl-D-mannosamine,OVRNDRQMDRJTHS-ZTVVOAFPSA-N,C15H32N2O5Si2,[M-H]+,375.15723,no correct formula
205,205,(water loss)L-methionine sulfoxide,QEFRNWWLZKMPFJ-YGVKFDHGSA-N,C11H25N1O2S1Si2,[M+H]+,292.12201,4
206,206,D-panthenol,SNPLKNRPJHDVJA-ZETCQYMHSA-N,C18H43N1O4Si3,[M+H]+,422.25787,2
207,207,1-hexadecanol,BXWNKGSJHAJOGX-UHFFFAOYSA-N,C19H42O1Si1,[M-H]+,313.29251,no correct formula
208,208,abietic acidÂ,RSWGJHLUYNHPMX-ONCXSQPRSA-N,C23H38O2Si1,[M+H]+,375.27103,2
209,209,adenosine,OIRDTQYFTABQOQ-KQYNXXCUSA-N,C22H45N5O4Si4,[M+H]+,556.26355,6
210,210,oxalic acid,MUBZPKHOEPUJKR-UHFFFAOYSA-N,C5H10O4Si1,[M+H]+,163.04256,0
211,211,oxalic acid,MUBZPKHOEPUJKR-UHFFFAOYSA-N,C8H18O4Si2,[M+H]+,235.08221,0
212,212,oxalic acid,MUBZPKHOEPUJKR-UHFFFAOYSA-N,C8H18O4Si2,[M+H]+,235.08228,0
213,213,oxalic acid,MUBZPKHOEPUJKR-UHFFFAOYSA-N,C8H18O4Si2,[M+H]+,235.0822,0
214,214,methylmalonic acid,ZIYVHBGGAOATLY-UHFFFAOYSA-N,C10H22O4Si2,[M+H]+,263.11352,0
215,215,methylmalonic acid,ZIYVHBGGAOATLY-UHFFFAOYSA-N,C10H22O4Si2,[M+H]+,263.11356,0
216,216,ortho-phosphoric acid,NBIIXXVUZAFLBC-UHFFFAOYSA-N,H3O4P1,[M-H]+,97.10131,no correct formula
217,217,L-homoserine,UKAUYVFTDYCKQA-VKHMYHEASA-N,C10H25N1O3Si2,[M+H]+,264.1087,no correct formula
218,218,ortho-phosphoric acid,NBIIXXVUZAFLBC-UHFFFAOYSA-N,H27O4P1C9Si3,[M+H]+,315.10327,3
219,219,(water loss)2-isopropylmalic acid,BITYXLXUCSKTJS-UHFFFAOYSA-N,C7H10O4,[M+H]+,159.14946,no correct formula
220,220,salicylic acid,YGSDEFSMJLZEOE-UHFFFAOYSA-N,C10H14O3Si1,[M+H]+,211.07883,0
221,221,L-homoserine,UKAUYVFTDYCKQA-VKHMYHEASA-N,C10H25N1O3Si2,[M+H]+,264.14514,0
222,222,(water loss)ortho-phosphoric acid,NBIIXXVUZAFLBC-UHFFFAOYSA-N,H17O3P1C6Si2,[M+H]+,225.12134,no correct formula
223,223,L-homoserine,UKAUYVFTDYCKQA-VKHMYHEASA-N,C13H33N1O3Si3,[M+H]+,336.18454,1
224,224,(water loss)L-homoserine,UKAUYVFTDYCKQA-VKHMYHEASA-N,C10H23N1O2Si2,[M+H]+,246.13437,1
225,225,salicylic acid,YGSDEFSMJLZEOE-UHFFFAOYSA-N,C13H22O3Si2,[M+H]+,283.1185,5
226,226,2-isopropylmalic acid,BITYXLXUCSKTJS-UHFFFAOYSA-N,C16H36O5Si3,[M+H]+,393.19455,2
227,227,quinolinic acid,GJAWHXHKYYXBSV-UHFFFAOYSA-N,C13H21N1O4Si2,[M+H]+,312.10864,0
228,228,quinolinic acid,GJAWHXHKYYXBSV-UHFFFAOYSA-N,C13H21N1O4Si2,[M+H]+,312.10858,0
229,229,"2,4-dihydroxypyrimidine-5-carboxylic acid",ZXYAAVBXHKCJJB-UHFFFAOYSA-N,C14H28N2O4Si3,[M+H]+,373.14349,0
230,230,benzoin,ISAOCJYIOMOJEB-UHFFFAOYSA-N,C18H23O2Si1N1,[M-H]+,312.14053,0
231,231,D-(-)-fructose,BJHIKXHVCXFQLS-UYFOZJQFSA-N,C12H28O6Si2,[M+H]+,325.16415,no correct formula
232,232,N-acetyl-D-glucosamine,OVRNDRQMDRJTHS-RTRLPJTCSA-N,C24H58N2O6Si5,[M-H]+,609.30493,3
233,233,N-acetyl-D-glucosamine,OVRNDRQMDRJTHS-RTRLPJTCSA-N,C24H58N2O6Si5,[M+H]+,611.3219,3
234,234,phlorobenzophenone,CPEXFJVZFNYXGU-UHFFFAOYSA-N,C22H34O4Si3,[M+H]+,447.18445,8
235,235,serotonin,QZAYGJVTTNCVMB-UHFFFAOYSA-N,C19H36N2O1Si3,[M+H]+,393.22073,1
236,236,(water loss)m-cresol,RLSSMJSEOOYNOY-UHFFFAOYSA-N,C7H6,[M+H]+,91.05741,no correct formula
237,237,m-cresol,RLSSMJSEOOYNOY-UHFFFAOYSA-N,C10H16O1Si1,[M+H]+,181.10486,0
238,238,Î²-cyano-L-alanine,BXRLWGXPSRYJDZ-VKHMYHEASA-N,C7H14N2O2Si1,[M+H]+,187.04257,no correct formula
239,239,(water loss)N-acetyl-L-serine,JJIHLJJYMXLCOY-BYPYZUCNSA-N,C8H15N1O3Si1,[M+H]+,202.11951,no correct formula
240,240,Î²-cyano-L-alanine,BXRLWGXPSRYJDZ-VKHMYHEASA-N,C7H14N2O2Si1,[M+H]+,187.09024,0
241,241,(water loss)L-canavanine,FSBIGDSBMBYOPN-VKHMYHEASA-N,C5H10N4O2,[M+H]+,159.14957,no correct formula
242,242,Î²-cyano-L-alanine,BXRLWGXPSRYJDZ-VKHMYHEASA-N,C7H14N2O2Si1,[M+H]+,187.09012,0
243,243,Î²-cyano-L-alanine,BXRLWGXPSRYJDZ-VKHMYHEASA-N,C10H22N2O2Si2,[M+H]+,259.12985,0
244,244,Î²-cyano-L-alanine,BXRLWGXPSRYJDZ-VKHMYHEASA-N,C10H22N2O2Si2,[M+H]+,259.12979,0
245,245,p-anisic acid,ZEYHEAKUIGZSGI-UHFFFAOYSA-N,C11H16O3Si1,[M+H]+,225.09464,1
246,246,2-(4-hydroxyphenyl)ethanolÂ,YCCILVSKPBXVIP-UHFFFAOYSA-N,C14H26O2Si2,[M]+,282.14664,4
247,247,3-(2-hydroxyphenyl)propanoic acid,CJBDUOMQLFKVQC-UHFFFAOYSA-N,C15H26O3Si2,[M]+,310.14179,no correct formula
248,248,4-quinolinecarboxylic acid,VQMSRUREDGBWKT-UHFFFAOYSA-N,C13H15N1O2Si1,[M+H]+,246.09488,0
249,249,"5,6-Dimethylbenzimidazole",LJUQGASMPRMWIW-UHFFFAOYSA-N,C12H18N2Si1,[M+H]+,219.13153,0
250,250,"5,6-Dimethylbenzimidazole",LJUQGASMPRMWIW-UHFFFAOYSA-N,C12H18N2Si1,[M+H]+,219.13155,0
251,251,homogentisic acid,IGMNYECMUMZDDF-UHFFFAOYSA-N,C17H32O4Si3,[M]+,384.16077,no correct formula
252,252,benzylsuccinic acid,GTOFKXZQQDSVFH-UHFFFAOYSA-N,C17H28O4Si2,[M+H]+,353.16025,0
253,253,4-hydroxycinnamic acid,NGSWKAQJJWESNS-ZZXKWVIFSA-N,C15H24O3Si2,[M+H]+,309.13416,0
254,254,uric acid,LEHOTFFKMJEONL-UHFFFAOYSA-N,C17H36N4O3Si4,[M+H]+,457.19363,5
255,255,indole-3-acetamide,ZOAMBXDOGPRZLP-UHFFFAOYSA-N,C16H26N2O1Si2,[M+H]+,319.16592,0
256,256,oleic acid,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,C21H42O2Si1,[M+H]+,355.30325,3
257,257,DL-dihydrosphingosine,OTKJDMGTUTTYMP-UHFFFAOYSA-N,C27H63N1O2Si3,[M-H]+,516.40979,no correct formula
258,258,DL-dihydrosphingosine,OTKJDMGTUTTYMP-UHFFFAOYSA-N,C27H63N1O2Si3,[M-H]+,516.40985,no correct formula
259,259,dihydrocapsaicin,XJQPQKLURWNAAH-UHFFFAOYSA-N,C24H45N1O3Si2,[M+H]+,452.30133,5
260,260,dihydrocapsaicin,XJQPQKLURWNAAH-UHFFFAOYSA-N,C21H37N1O3Si1,[M+H]+,380.26163,0
261,261,dihydrocapsaicin,XJQPQKLURWNAAH-UHFFFAOYSA-N,C21H37N1O3Si1,[M+H]+,380.26065,0
262,262,sarcosine,FSYKKLYZXJSNPZ-UHFFFAOYSA-N,C6H15N1O2Si1,[M+H]+,162.09494,0
263,263,sarcosine,FSYKKLYZXJSNPZ-UHFFFAOYSA-N,C9H23N1O2Si2,[M+H]+,234.1346,0
264,264,sarcosine,FSYKKLYZXJSNPZ-UHFFFAOYSA-N,C9H23N1O2Si2,[M+H]+,234.13458,0
265,265,nonanoic acid,FBUKVWPVBMHYJY-UHFFFAOYSA-N,C9H18O2,[M+H]+,159.14964,no correct formula
266,266,(water loss)2'-deoxycytidine,CKTSBUTUHBMZGZ-SHYZEUOFSA-N,C9H11N3O3,[M+H]+,210.13147,no correct formula
267,267,nonanoic acid,FBUKVWPVBMHYJY-UHFFFAOYSA-N,C12H26O2Si1,[M+H]+,231.17813,0
268,268,(water loss)tropic acid,JACRWUWPXAESPB-UHFFFAOYSA-N,C12H16O2Si1,[M+H]+,221.09973,0
269,269,cytosine,OPTASPLRGRRNAP-UHFFFAOYSA-N,C7H13N3O1Si1,[M+H]+,184.09056,0
270,270,cytosine,OPTASPLRGRRNAP-UHFFFAOYSA-N,C7H13N3O1Si1,[M+H]+,184.09045,0
271,271,(water loss)DL-4-hydroxymandelic acid,YHXHKYRQLYQUIH-UHFFFAOYSA-N,C8H6O3,[M+H]+,151.05777,no correct formula
272,272,4-isopropylbenzoic acid,CKMXAIVXVKGGFM-UHFFFAOYSA-N,C13H20O2Si1,[M+H]+,237.13107,0
273,273,cytosine,OPTASPLRGRRNAP-UHFFFAOYSA-N,C10H21N3O1Si2,[M+H]+,256.13016,1
274,274,cytosine,OPTASPLRGRRNAP-UHFFFAOYSA-N,C10H21N3O1Si2,[M+H]+,256.13007,0
275,275,cytosine,OPTASPLRGRRNAP-UHFFFAOYSA-N,C10H21N3O1Si2,[M+H]+,256.13007,0
276,276,(water loss)tropic acid,JACRWUWPXAESPB-UHFFFAOYSA-N,C12H16O2Si1,[M+H]+,221.0997,0
277,277,tropic acid,JACRWUWPXAESPB-UHFFFAOYSA-N,C15H26O3Si2,[M+H]+,311.14981,0
278,278,N-formyl-L-methionine,PYUSHNKNPOHWEZ-YFKPBYRVSA-N,C9H19N1O3S1Si1,[M+H]+,250.09322,2
279,279,N-formyl-L-methionine,PYUSHNKNPOHWEZ-YFKPBYRVSA-N,C12H27N1O3S1Si2,[M+H]+,322.13315,2
280,280,(water loss)allantoin,POJWUDADGALRAB-UHFFFAOYSA-N,C13H28N4O2Si3,[M+H]+,357.15961,1
281,281,DL-4-hydroxymandelic acid,YHXHKYRQLYQUIH-UHFFFAOYSA-N,C17H32O4Si3,[M+H]+,385.16748,4
282,282,tropic acid,JACRWUWPXAESPB-UHFFFAOYSA-N,C15H26O3Si2,[M+H]+,311.11325,no correct formula
283,283,allantoin,POJWUDADGALRAB-UHFFFAOYSA-N,C16H38N4O3Si4,[M+H]+,447.21018,7
284,284,O-succinylhomoserine,GNISQJGXJIDKDJ-YFKPBYRVSA-N,C17H37N1O6Si3,[M+H]+,436.20148,0
285,285,biotin,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,C19H40N2O3S1Si3,[M+H]+,461.21536,5
286,286,2-furoic acid,SMNDYUVBFMFKNZ-UHFFFAOYSA-N,C8H12O3Si1,[M+H]+,185.06302,1
287,287,4-acetamidobutyric acid,UZTFMUBKZQVKLK-UHFFFAOYSA-N,C9H19N1O3Si1,[M+H]+,218.15714,no correct formula
288,288,4-acetamidobutyric acid,UZTFMUBKZQVKLK-UHFFFAOYSA-N,C9H19N1O3Si1,[M+H]+,218.15732,no correct formula
289,289,4-methylcatechol,ZBCATMYQYDCTIZ-UHFFFAOYSA-N,C13H24O2Si2,[M+H]+,269.13834,0
290,290,4-acetamidobutyric acid,UZTFMUBKZQVKLK-UHFFFAOYSA-N,C9H19N1O3Si1,[M+H]+,218.12027,0
291,291,(water loss)4-acetamidobutyric acid,UZTFMUBKZQVKLK-UHFFFAOYSA-N,C12H25N1O2Si2,[M+H]+,272.11288,no correct formula
292,292,(water loss)4-pyridoxic acid,HXACOUQIXZGNBF-UHFFFAOYSA-N,C11H15N1O3Si1,[M+H]+,238.08932,0
293,293,N-benzyloxycarbonylglycine,CJUMAFVKTCBCJK-UHFFFAOYSA-N,C16H27N1O4Si2,[M+H]+,354.15436,0
294,294,methyl heptadecanoate,HUEBIMLTDXKIPR-UHFFFAOYSA-N,C18H36O2,[M+H]+,285.27893,0
295,295,N-ethylglycine,YPIGGYHFMKJNKV-UHFFFAOYSA-N,C7H17N1O2Si1,[M+H]+,176.09232,no correct formula
296,296,(water loss)N-ethylglycine,YPIGGYHFMKJNKV-UHFFFAOYSA-N,C10H23N1O1Si2,[M]+,229.07408,no correct formula
297,297,N-ethylglycine,YPIGGYHFMKJNKV-UHFFFAOYSA-N,C7H17N1O2Si1,[M+H]+,176.11015,0
298,298,p-cresol,IWDCLRJOBJJRNH-UHFFFAOYSA-N,C10H16O1Si1,[M+H]+,181.10411,0
299,299,N-ethylglycine,YPIGGYHFMKJNKV-UHFFFAOYSA-N,C10H25N1O2Si2,[M+H]+,248.14931,0
300,300,2-hydroxyquinoline,LISFMEBWQUVKPJ-UHFFFAOYSA-N,C12H15N1O1Si1,[M+H]+,218.15701,no correct formula
301,301,"2-butyne-1,4-diol",DLDJFQGPPSQZKI-UHFFFAOYSA-N,C10H22O2Si2,[M-H]+,229.10725,1
302,302,"2-butyne-1,4-diol",DLDJFQGPPSQZKI-UHFFFAOYSA-N,C7H14O2Si1,[M+H]+,159.14925,no correct formula
303,303,catechol,YCIMNLLNPGFGHC-UHFFFAOYSA-N,C12H22O2Si2,[M+H]+,255.12262,0
304,304,catechol,YCIMNLLNPGFGHC-UHFFFAOYSA-N,C12H22O2Si2,[M+H]+,255.12282,0
305,305,(water loss)pimelic acid,WLJVNTCWHIRURA-UHFFFAOYSA-N,C10H18O3Si1,[M+H]+,215.20055,no correct formula
306,306,phthalic acid,XNGIFLGASWRNHJ-UHFFFAOYSA-N,C11H14O4Si1,[M+H]+,239.10939,no correct formula
307,307,(water loss)phthalic acid,XNGIFLGASWRNHJ-UHFFFAOYSA-N,C8H4O3,[M+H]+,149.02322,0
308,308,pimelic acid,WLJVNTCWHIRURA-UHFFFAOYSA-N,C13H28O4Si2,[M+H]+,305.15942,0
309,309,phthalic acid,XNGIFLGASWRNHJ-UHFFFAOYSA-N,C14H22O4Si2,[M+H]+,311.11285,0
310,310,putrescine,KIDHWZJUCRJVML-UHFFFAOYSA-N,C16H44N2Si4,[M+H]+,377.26446,2
311,311,N-acetyl-L-phenylalanine,CBQJSKKFNMDLON-JTQLQIEISA-N,C14H21N1O3Si1,[M+H]+,280.13623,0
312,312,N-acetyl-L-phenylalanine,CBQJSKKFNMDLON-JTQLQIEISA-N,C14H21N1O3Si1,[M+H]+,280.13599,0
313,313,1-methyl-L-tryptophan,ZADWXFSZEAPBJS-JTQLQIEISA-N,C18H30N2O2Si2,[M+H]+,363.19138,0
314,314,glycyl-L-tyrosine,XBGGUPMXALFZOT-VIFPVBQESA-N,C23H46N2O4Si4,[M+H]+,527.26099,4
315,315,N-methyl-L-alanine,GDFAOVXKHJXLEI-VKHMYHEASA-N,C7H17N1O2Si1,[M+H]+,176.11043,0
316,316,(water loss)N-methyl-L-alanine,GDFAOVXKHJXLEI-VKHMYHEASA-N,C10H23N1O1Si2,[M+H]+,230.0811,no correct formula
317,317,(water loss)N-methyl-L-alanine,GDFAOVXKHJXLEI-VKHMYHEASA-N,C10H23N1O1Si2,[M+H]+,230.08164,no correct formula
318,318,2-hydroxypyridine,UBQKCCHYAOITMY-UHFFFAOYSA-N,C8H13N1O1Si1,[M+H]+,168.08418,0
319,319,N-methyl-L-alanine,GDFAOVXKHJXLEI-VKHMYHEASA-N,C10H25N1O2Si2,[M+H]+,248.14981,0
320,320,benzoic acid,WPYMKLBDIGXBTP-UHFFFAOYSA-N,C10H14O2Si1,[M+H]+,195.0838,0
321,321,4-acetylbutyric acid,MGTZCLMLSSAXLD-UHFFFAOYSA-N,C10H21O3Si1N1,[M+H]+,232.13631,0
322,322,2-hydroxybiphenyl,LLEMOWNGBBNAJR-UHFFFAOYSA-N,C12H10O1,[M-H]+,169.0582,no correct formula
323,323,pyrogallol,WQGWDDDVZFFDIG-UHFFFAOYSA-N,C15H30O3Si3,[M+H]+,343.15674,0
324,324,2-hydroxybiphenyl,LLEMOWNGBBNAJR-UHFFFAOYSA-N,C15H18O1Si1,[M+H]+,243.11996,1
325,325,2-hydroxybiphenyl,LLEMOWNGBBNAJR-UHFFFAOYSA-N,C15H18O1Si1,[M+H]+,243.23186,no correct formula
326,326,orotic acid,PXQPEWDEAKTCGB-UHFFFAOYSA-N,C14H28N2O4Si3,[M+H]+,373.14316,0
327,327,palmitic acid,IPCSVZSSVZVIGE-UHFFFAOYSA-N,C19H40O2Si1,[M-H]+,327.27139,0
328,328,inosine,UGQMRVRMYYASKQ-KQYNXXCUSA-N,C22H44N4O5Si4,[M+H]+,557.24683,no correct formula
329,329,(water loss)urea,XSQUKJJJFZCRTK-UHFFFAOYSA-N,C7H18N2Si2,[M+H]+,187.10829,0
330,330,L-norleucine,LRQKBLKVPFOOQJ-YFKPBYRVSA-N,C9H21N1O2Si1,[M+H]+,204.1416,0
331,331,urea,XSQUKJJJFZCRTK-UHFFFAOYSA-N,C4H12N2O1Si1,[M+H]+,133.07932,0
332,332,L-norleucine,LRQKBLKVPFOOQJ-YFKPBYRVSA-N,C9H21N1O2Si1,[M+H]+,204.14159,0
333,333,pyrrole-2-carboxylic acid,WRHZVMBBRYBTKZ-UHFFFAOYSA-N,C8H13N1O2Si1,[M+H]+,184.07883,0
334,334,L-norleucine,LRQKBLKVPFOOQJ-YFKPBYRVSA-N,C12H29N1O2Si2,[M+H]+,276.18118,0
335,335,pyrrole-2-carboxylic acid,WRHZVMBBRYBTKZ-UHFFFAOYSA-N,C11H21N1O2Si2,[M+H]+,256.11838,0
336,336,(water loss)urea,XSQUKJJJFZCRTK-UHFFFAOYSA-N,C4H10N2Si1,[M]+,114.01578,no correct formula
337,337,hydrocinnamic acid,XMIIGOLPHOKFCH-UHFFFAOYSA-N,C12H18O2Si1,[M+H]+,223.11498,1
338,338,4-hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,C11H17O2Si1N1,[M+H]+,224.11005,0
339,339,4-hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,C11H17O2Si1N1,[M+H]+,224.10977,0
340,340,3-hydroxyphenylacetic acid,FVMDYYGIDFPZAX-UHFFFAOYSA-N,C14H24O3Si2,[M+H]+,297.13351,1
341,341,2-hydroxycinnamic acid,PMOWTIHVNWZYFI-AATRIKPKSA-N,C15H24O3Si2,[M+H]+,309.13358,0
342,342,scopoletin,RODXRVNMMDRFIK-UHFFFAOYSA-N,C13H16O4Si1,[M+H]+,265.08893,0
343,343,2'-deoxyguanosine,YKBGVTZYEHREMT-KVQBGUIXSA-N,C22H45N5O4Si4,[M+H]+,556.26117,no correct formula
344,344,DL-glyceraldehyde,MNQZXJOMYWMBOU-UHFFFAOYSA-N,C7H17O3Si1N1,[M]+,191.11543,no correct formula
345,345,DL-glyceraldehyde,MNQZXJOMYWMBOU-UHFFFAOYSA-N,C7H17O3Si1N1,[M]+,191.11566,no correct formula
346,346,(water loss)DL-glyceraldehyde,MNQZXJOMYWMBOU-UHFFFAOYSA-N,C7H15O2Si1N1,[M-H]+,172.15154,nan
347,347,lactic acid,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,C9H22O3Si2,[M+H]+,235.118,0
348,348,DL-glyceraldehyde,MNQZXJOMYWMBOU-UHFFFAOYSA-N,C10H25O3Si2N1,[M-H]+,262.12833,0
349,349,(water loss)adipic acid,WNLRTRBMVRJNCN-UHFFFAOYSA-N,C9H16O3Si1,[M+H]+,201.05789,no correct formula
350,350,DL-glyceraldehyde,MNQZXJOMYWMBOU-UHFFFAOYSA-N,C10H25O3Si2N1,[M+H]+,264.10818,no correct formula
351,351,(water loss)adipic acid,WNLRTRBMVRJNCN-UHFFFAOYSA-N,C9H16O3Si1,[M+H]+,201.05778,no correct formula
352,352,"cis-1,2-cyclohexanediol",PFURGBBHAOXLIO-OLQVQODUSA-N,C12H28O2Si2,[M-H]+,259.15439,0
353,353,citraconic acid,HNEGQIOMVPPMNR-IHWYPQMZSA-N,C11H22O4Si2,[M+H]+,275.11319,0
354,354,6-hydroxycaproic acid,IWHLYPDWHHPVAA-UHFFFAOYSA-N,C12H28O3Si2,[M+H]+,277.16504,0
355,355,adipic acid,WNLRTRBMVRJNCN-UHFFFAOYSA-N,C12H26O4Si2,[M+H]+,291.14426,0
356,356,cinnamic acid,WBYWAXJHAXSJNI-VOTSOKGWSA-N,C12H16O2Si1,[M+H]+,221.09936,0
357,357,4-hydroxybenzoic acid,FJKROLUGYXJWQN-UHFFFAOYSA-N,C13H22O3Si2,[M+H]+,283.11795,0
358,358,adenine,GFFGJBXGBJISGV-UHFFFAOYSA-N,C11H21N5Si2,[M+H]+,280.14075,0
359,359,4-hydroxybenzoic acid,FJKROLUGYXJWQN-UHFFFAOYSA-N,C10H14O3Si1,[M+H]+,211.08958,no correct formula
360,360,xanthotoxin,QXKHYNVANLEOEG-UHFFFAOYSA-N,C12H8O4,[M+H]+,217.04962,0
361,361,5-methoxy-3-indoleacetic acid,COCNDHOPIHDTHK-UHFFFAOYSA-N,C17H27N1O3Si2,[M+H]+,350.15958,0
362,362,melatonin,DRLFMBDRBRZALE-UHFFFAOYSA-N,C16H24N2O2Si1,[M+H]+,305.16794,0
363,363,glycolic acid,AEMRFAOFKBGASW-UHFFFAOYSA-N,C8H20O3Si2,[M+H]+,221.10246,1
364,364,(water loss)mandelonitrile,NNICRUQPODTGRU-UHFFFAOYSA-N,C11H13N1Si1,[M]+,187.16942,no correct formula
365,365,1-indanol,YIAPLDFPUUJILH-UHFFFAOYSA-N,C12H18O1Si1,[M+H]+,207.11992,1
366,366,creatinine,DDRJAANPRJIHGJ-UHFFFAOYSA-N,C4H7N3O1,[M+H]+,114.01618,no correct formula
367,367,10-hydroxydecanoic acid,YJCJVMMDTBEITC-UHFFFAOYSA-N,C16H36O3Si2,[M+H]+,333.11612,no correct formula
368,368,(water loss)10-hydroxydecanoic acid,YJCJVMMDTBEITC-UHFFFAOYSA-N,C13H26O2Si1,[M+H]+,243.23183,no correct formula
369,369,3-(3-hydroxyphenyl)propionic acid,QVWAEZJXDYOKEH-UHFFFAOYSA-N,C15H26O3Si2,[M]+,310.14136,5
370,370,trans-aconitic acid,GTZCVFVGUGFEME-HNQUOIGGSA-N,C15H30O6Si3,[M+H]+,391.14197,1
371,371,10-hydroxydecanoic acid,YJCJVMMDTBEITC-UHFFFAOYSA-N,C16H36O3Si2,[M+H]+,333.22784,0
372,372,tyramine,DZGWFCGJZKJUFP-UHFFFAOYSA-N,C11H19N1O1Si1,[M-H]+,208.12636,no correct formula
373,373,quinic acid,AAWZDTNXLSGCEK-LNVDRNJUSA-N,C22H52O6Si5,[M+H]+,553.26868,no correct formula
374,374,caffeic acid,QAIPRVGONGVQAS-DUXPYHPUSA-N,C18H32O4Si3,[M+H]+,397.16785,3
375,375,N-acetyl-5-hydroxytryptamine,MVAWJSIDNICKHF-UHFFFAOYSA-N,C18H30N2O2Si2,[M+H]+,363.19156,2
376,376,2'-deoxyadenosine,OLXZPDWKRNYJJZ-RRKCRQDMSA-N,C16H29N5O3Si2,[M+H]+,396.18765,1
377,377,1-aminocyclopropane-1-carboxylic acid,PAJPWUMXBYXFCZ-UHFFFAOYSA-N,C7H15N1O2Si1,[M-H]+,172.15179,nan
378,378,1-aminocyclopropane-1-carboxylic acid,PAJPWUMXBYXFCZ-UHFFFAOYSA-N,C7H15N1O2Si1,[M+H]+,174.09468,0
379,379,2-hydroxybutyric acid,AFENDNXGAFYKQO-UHFFFAOYSA-N,C10H24O3Si2,[M+H]+,249.13365,0
380,380,1-aminocyclopropane-1-carboxylic acid,PAJPWUMXBYXFCZ-UHFFFAOYSA-N,C10H23N1O2Si2,[M+H]+,246.13417,0
381,381,glycerol,PEDCQBHIVMGVHV-UHFFFAOYSA-N,C12H32O3Si3,[M+H]+,309.17319,2
382,382,(water loss)2-hydroxyacetophenone,ZWVHTXAYIKBMEE-UHFFFAOYSA-N,C8H6O1,[M-H]+,117.07324,no correct formula
383,383,(water loss)2-hydroxybutyric acid,AFENDNXGAFYKQO-UHFFFAOYSA-N,C7H14O2Si1,[M+H]+,159.14925,no correct formula
384,384,2-hydroxyacetophenone,ZWVHTXAYIKBMEE-UHFFFAOYSA-N,C11H16O2Si1,[M-H]+,207.1115,no correct formula
385,385,L-methionine sulfoxide,QEFRNWWLZKMPFJ-YGVKFDHGSA-N,C8H19N1O3S1Si1,[M+H]+,238.12566,no correct formula
386,386,(water loss)4-aminophenol,PLIKAWJENQZMHA-UHFFFAOYSA-N,C12H21N1Si2,[M+H]+,236.07394,no correct formula
387,387,N-acetyl-L-aspartic acid,OTCCIMWXFLJLIA-BYPYZUCNSA-N,C12H25N1O5Si2,[M+H]+,320.13458,0
388,388,N-acetyl-L-aspartic acid,OTCCIMWXFLJLIA-BYPYZUCNSA-N,C15H33N1O5Si3,[M+H]+,392.2092,no correct formula
389,389,1-hexadecanol,BXWNKGSJHAJOGX-UHFFFAOYSA-N,C16H34O1,[M+H]+,243.23193,no correct formula
390,390,(water loss)L-methionine sulfoxide,QEFRNWWLZKMPFJ-YGVKFDHGSA-N,C11H25N1O2S1Si2,[M+H]+,292.12256,4
391,391,D-panthenol,SNPLKNRPJHDVJA-ZETCQYMHSA-N,C18H43N1O4Si3,[M+H]+,422.25732,2
392,392,1-hexadecanol,BXWNKGSJHAJOGX-UHFFFAOYSA-N,C19H42O1Si1,[M-H]+,313.29208,no correct formula
393,393,oxalic acid,MUBZPKHOEPUJKR-UHFFFAOYSA-N,C5H10O4Si1,[M+H]+,163.04246,0
394,394,oxalic acid,MUBZPKHOEPUJKR-UHFFFAOYSA-N,C8H18O4Si2,[M+H]+,235.08197,0
395,395,methylmalonic acid,ZIYVHBGGAOATLY-UHFFFAOYSA-N,C10H22O4Si2,[M+H]+,263.1131,0
396,396,ortho-phosphoric acid,NBIIXXVUZAFLBC-UHFFFAOYSA-N,H27O4P1C9Si3,[M+H]+,315.10288,2
397,397,(water loss)2-isopropylmalic acid,BITYXLXUCSKTJS-UHFFFAOYSA-N,C7H10O4,[M+H]+,159.1492,no correct formula
398,398,salicylic acid,YGSDEFSMJLZEOE-UHFFFAOYSA-N,C10H14O3Si1,[M+H]+,211.07857,0
399,399,L-homoserine,UKAUYVFTDYCKQA-VKHMYHEASA-N,C10H25N1O3Si2,[M+H]+,264.14465,0
400,400,benzamide,KXDAEFPNCMNJSK-UHFFFAOYSA-N,C10H15N1O1Si1,[M+H]+,194.09967,0
401,401,salicylic acid,YGSDEFSMJLZEOE-UHFFFAOYSA-N,C13H22O3Si2,[M+H]+,283.1181,1
402,402,2-isopropylmalic acid,BITYXLXUCSKTJS-UHFFFAOYSA-N,C16H36O5Si3,[M+H]+,393.19464,3
403,403,quinolinic acid,GJAWHXHKYYXBSV-UHFFFAOYSA-N,C13H21N1O4Si2,[M+H]+,312.10825,0
404,404,"2,4-dihydroxypyrimidine-5-carboxylic acid",ZXYAAVBXHKCJJB-UHFFFAOYSA-N,C14H28N2O4Si3,[M+H]+,373.14294,1
